Name,Total 3P Made,Total 3P Att,Total 3P%,Cold 3P Made,Cold 3P Att,Cold 3P%,Hot 3P Made,Hot 3P Att,Hot 3P%,Hot/Cold Diff,Hot Shot Makeup
ricky rubio,60,196,30.612244897959183,55,183,30.05464480874317,5,13,38.46153846153847,8.406893652795297,6.63265306122449
scott williams,0,0,0,0,0,0,0,0,0,0,0
bill curley,0,0,0,0,0,0,0,0,0,0,0
brandon rush,44,114,38.59649122807017,38,107,35.51401869158878,6,7,85.71428571428571,50.20026702269693,6.140350877192982
derrick alston,0,0,0,0,0,0,0,0,0,0,0
eric montross,0,0,0,0,0,0,0,0,0,0,0
joakim noah,0,1,0,0,1,0,0,0,0,0,0
matthew dellavedova,79,215,36.74418604651163,76,200,38,3,15,20,-18,6.976744186046512
robin lopez,0,2,0,0,2,0,0,0,0,0,0
james robinson,0,0,0,0,0,0,0,0,0,0,0
kenny smith,0,0,0,0,0,0,0,0,0,0,0
richard manning,0,0,0,0,0,0,0,0,0,0,0
sam cassell,0,0,0,0,0,0,0,0,0,0,0
steve kerr,0,0,0,0,0,0,0,0,0,0,0
terrell brandon,0,0,0,0,0,0,0,0,0,0,0
danny manning,0,0,0,0,0,0,0,0,0,0,0
gerald green,39,111,35.13513513513514,31,99,31.313131313131315,8,12,66.66666666666666,35.35353535353534,10.81081081081081
johnny newman,0,0,0,0,0,0,0,0,0,0,0
kyle anderson,15,40,37.5,15,38,39.473684210526315,0,2,0,-39.473684210526315,5
